Transect	ID	mean_finalFreeze	mean_cGDDfreeze	med_DD0
Chilcotin	256	140.175	544.73125	126
Chilcotin	257	140.175	544.73125	126
Chilcotin	258	139.1	555.64375	124.5
Chilcotin	259	139.1	555.64375	124.5
Chilcotin	260	139.1	555.64375	124.5
Chilcotin	261	140.175	530.775	133
Chilcotin	262	140.175	530.775	133
Chilcotin	263	140.175	530.775	133
Chilcotin	265	141.175	527.69375	137.5
Chilcotin	266	139.975	553.4625	134.5
Chilcotin	267	139.975	552.2875	135
Chilcotin	268	139.975	552.2875	135
Chilcotin	269	142.65	523.6875	142
Chilcotin	271	142.65	522.7875	142
Crowsnest	301	78.95	259.675	15
Crowsnest	302	78.95	259.58125	15.5
Crowsnest	303	76.375	226.65625	20
Crowsnest	304	76.375	226.65625	20
Crowsnest	307	151.95	558.35625	132
Crowsnest	308	151.95	558.35625	132
Crowsnest	309	149.875	598.29375	125.5
Crowsnest	310	151	614.475	127
Crowsnest	311	128.45	568.49375	84
Crowsnest	312	127.95	562.7625	85.5
Crowsnest	313	117.525	512.125	66.5
Crowsnest	314	117.525	512.125	66.5
Crowsnest	315	117.725	482.3625	74
Crowsnest	316	122.275	514.4875	84
Crowsnest	317	121.725	537.7625	77
Crowsnest	318	121.725	537.7625	77
Crowsnest	319	123.4	543.85	81.5
Crowsnest	320	123.4	543.85	81.5
Crowsnest	322	130.925	541.24375	96.5
Crowsnest	323	120.775	523.35	73
Crowsnest	324	120.775	523.35	73
Crowsnest	325	120.95	482.19375	81
Crowsnest	326	120.95	482.19375	81
Crowsnest	327	142.075	452.46875	127
Crowsnest	328	149.45	451.05	136.5
Crowsnest	329	136.05	440.0625	119.5
Crowsnest	330	136.05	440.0625	119.5
Crowsnest	331	118.2	414.75625	82.5
Crowsnest	332	118.625	413.8	83.5
Crowsnest	333	118.925	432.2625	83
Crowsnest	334	117.6	441.64375	75
Crowsnest	335	117.6	441.64375	75
Crowsnest	336	130.525	475.3875	106.5
Crowsnest	337	130.525	475.3875	106.5
Crowsnest	339	146.8	463.83125	137
Crowsnest	340	128.35	459.18125	100.5
Crowsnest	341	128.35	459.18125	100.5
Crowsnest	342	114.4	450.61875	66
Crowsnest	343	114.4	450.61875	66
Crowsnest	344	118.4	465.64375	75.5
Crowsnest	346	121.6	493.9	79
Crowsnest	347	125.35	525.19375	83.5
Crowsnest	348	127.6	533.74375	87.5
Crowsnest	350	128.4	547.80625	88.5
Crowsnest	351	128.4	547.80625	88.5
Crowsnest	352	132.775	580.15625	95.5
Crowsnest	353	132.775	580.15625	95.5
Crowsnest	354	133.925	587.13125	98.5
Crowsnest	355	134.775	582.95	99.5
Crowsnest	356	134.775	582.95	99.5
Crowsnest	357	136	679.325	85
Crowsnest	358	136.675	679.24375	87
Crowsnest	359	136.675	679.24375	87
Crowsnest	360	137.7	678.0875	87.5
Crowsnest	361	137.05	679.7125	86.5
Crowsnest	362	138.225	675.85625	89.5
Crowsnest	363	139.375	665.13125	93
Crowsnest	364	139.575	661.39375	93.5
Crowsnest	365	140.35	646.78125	97.5
Crowsnest	366	140.675	663.33125	96
Crowsnest	368	141.525	658.23125	99
Crowsnest	369	142.3	653.61875	102
Crowsnest	371	143.05	636.4375	109.5
Crowsnest	372	144.675	656.58125	109
Crowsnest	375	148.175	643.61875	115
Crowsnest	376	148.175	643.61875	115
Crowsnest	377	151.325	620.88125	126.5
Crowsnest	378	162.275	600.59375	146
Crowsnest	379	152.1	640.3625	120.5
Crowsnest	380	150.2	649.01875	117
Crowsnest	382	147.85	647.8875	112.5
Crowsnest	383	144.9	652.90625	105
Crowsnest	384	143.025	666.225	101
Crowsnest	385	137.575	639.6125	97.5
Crowsnest	386	140.2	653.14375	97.5
Crowsnest	387	140.2	653.14375	97.5
Crowsnest	388	136.625	655.1125	97
Crowsnest	389	136.1	658.81875	95.5
Crowsnest	390	135.35	706.21875	95.5
Crowsnest	392	135.35	711.79375	95.5
Crowsnest	393	134.875	719.9625	97.5
Crowsnest	397	132.95	705.63125	94
Crowsnest	398	133.975	695.51875	99.5
Cassiar	402	151.35	544.60625	165
Cassiar	403	153.9	548.11875	168
Cassiar	404	153.9	548.11875	168
Cassiar	405	141.425	460.0875	172.5
Cassiar	409	152.625	525.2125	178
Cassiar	410	152.625	525.2125	178
Cassiar	411	145.75	490.5875	172
Cassiar	412	145.75	490.5875	172
Cassiar	413	146.775	499.475	170.5
Cassiar	414	146.775	499.475	170.5
Cassiar	416	149.9	517.85	172.5
Cassiar	417	161.5	590.98125	179
Cassiar	418	161.5	590.98125	179
Cassiar	419	153.075	540.66875	171
Cassiar	420	153.075	540.66875	171
Cassiar	421	156.375	564.075	172.5
Cassiar	422	156.375	564.075	172.5
Cassiar	423	155.35	561.9	169.5
Cassiar	425	153.85	556.35625	166
Cassiar	426	153.85	556.35625	166
Cassiar	427	160.775	602.21875	168.5
Cassiar	428	160.775	602.21875	168.5
Cassiar	429	172.375	662.24375	179
Cassiar	430	172.075	661.91875	179
Cassiar	431	164.75	617.84375	168
Cassiar	432	164.75	617.84375	168
Cassiar	433	157.45	571.15	160
Cassiar	434	157.45	571.15	160
Cassiar	435	154.725	530.5125	156.5
Cassiar	436	154.725	530.5125	156.5
Cassiar	438	147.775	492.71875	148.5
Cassiar	439	139.15	444.25625	139.5
Cassiar	440	139.15	444.25625	139.5
Cassiar	442	141.175	454.0875	139.5
Cassiar	443	136.7	448.20625	132.5
Cassiar	444	136.7	448.20625	132.5
Cassiar	446	136.8	456.23125	130
Cassiar	447	136.8	456.23125	130
Cassiar	448	136.8	456.23125	130
Cassiar	450	135.725	462.0375	120.5
Cassiar	451	135.725	462.0375	120.5
Cassiar	452	140.8	475.175	128
Cassiar	453	140.8	475.175	128
Cassiar	454	140.8	475.175	128
Cassiar	455	127.9	424.79375	108.5
Cassiar	456	127.9	424.79375	108.5
Cassiar	457	125.95	422.73125	102.5
Cassiar	460	124.75	425.08125	96
Cassiar	461	124.75	425.08125	96
Cassiar	462	124.75	425.08125	96
Cassiar	463	131.25	460.575	103.5
Cassiar	464	131.25	460.575	103.5
Cassiar	465	131.25	460.575	103.5
Cassiar	467	132.175	483.125	102.5
Cassiar	468	132.775	490.50625	100.5
Cassiar	470	132.775	490.50625	100.5
Cassiar	471	129.925	479.4625	95.5
Cassiar	472	129.925	479.4625	95.5
Cassiar	474	123	426.0625	83.5
Cassiar	475	123	426.0625	83.5
Cassiar	476	115.55	372.05	67
Cassiar	477	115.55	372.05	67
Cassiar	478	104.325	289.16875	43.5
Cassiar	479	104.325	289.16875	43.5
Jasper	501	77.3	246.29375	12
Jasper	503	71.95	231.4	14
Jasper	504	77.625	240.7125	16.5
Jasper	505	72.875	230.7625	14.5
Jasper	507	90.45	288.3625	27
Jasper	508	109.725	402.48125	46.5
Jasper	509	135.95	604.70625	92.5
Jasper	510	143.725	648.19375	106.5
Jasper	511	125.075	560.20625	71.5
Jasper	512	128.725	564.03125	83.5
Jasper	514	113.525	459.325	67
Jasper	515	113.175	459.85625	66
Jasper	516	116.9	492.60625	72
Jasper	517	127.35	550.725	88
Jasper	518	141.25	594.425	114
Jasper	519	125.325	542.3	83.5
Jasper	520	160.925	723.65	135
Jasper	521	125.175	561.8125	80.5
Jasper	522	127.825	569.86875	83.5
Jasper	523	130.2	518.9375	100
Jasper	528	138.9	573.13125	116.5
Jasper	529	138.575	580.81875	116
Jasper	530	144.7	616.0375	126.5
Jasper	531	140.9	605.38125	115
Jasper	532	140.525	609.25	113
Jasper	533	140.55	615.81875	111
Jasper	535	141.425	625.50625	113.5
Jasper	536	142.6	628.95625	121
Jasper	537	148.85	661.91875	133
Jasper	538	149.1	668.35	134
Jasper	540	150.275	678.775	136.5
Jasper	541	152.925	705.0875	138
Jasper	542	154.025	716.36875	139
Jasper	543	154.7	724.85	140
Jasper	546	150.525	743.4125	124.5
Jasper	547	150.525	741.33125	124.5
Jasper	549	151	754.0875	123
Jasper	550	150.45	757.8375	122
Jasper	551	150.3	758.875	121.5
Jasper	553	152.675	775.375	131.5
Jasper	555	150.525	769.91875	129
Jasper	557	146.975	744.05	129
Jasper	558	146.5	733.03125	131
Jasper	559	148.8	735.25625	139
Jasper	560	146.025	718.8125	136
Jasper	561	148.4	724.93125	141.5
Jasper	562	146.575	725.75625	133
Jasper	563	145.75	724.79375	131
Jasper	564	145.3	722.375	130.5
Jasper	566	145.55	721.60625	132
Jasper	567	145.2	724.29375	132
Jasper	568	146.175	728.89375	133
Jasper	569	146.25	733.15	132.5
Jasper	571	146.975	740.6125	132
Jasper	572	146.975	740.14375	133.5
Jasper	574	147.25	741.01875	135.5
Jasper	578	141.625	667.93125	132
Jasper	579	140.725	652.05	131.5
Jasper	580	138.025	622.55	130
Jasper	582	135.85	555.24375	132
Jasper	586	134.025	505.21875	131
Jasper	588	133.025	513.325	129.5
Jasper	591	139.85	553.3625	134.5
Jasper	592	141.475	548.55625	138
Jasper	593	141.325	550.2625	138
Jasper	595	142.425	538.575	141.5
Jasper	596	141.55	541.95625	140.5
Jasper	597	141.5	543.61875	141
Jasper	600	139.8	553.09375	138.5
Chilcotin	601	140.4	542.9125	125.5
Chilcotin	603	140.4	542.9125	125.5
Chilcotin	604	138.55	548.30625	123
Chilcotin	605	138.55	548.30625	123
Chilcotin	606	138.55	548.30625	123
Chilcotin	607	138.975	556.51875	120
Chilcotin	608	138.975	556.51875	120
Wyoming	703	125.525	405.4	64
Wyoming	704	125.525	401.875	65.5
Wyoming	705	121.675	485.39375	51
Wyoming	706	122.25	491.59375	52.5
Wyoming	707	122.5	519.55625	68
Wyoming	708	122.5	519.55625	68
Wyoming	709	122.5	519.55625	68
Wyoming	710	120.925	508.7	69
Wyoming	711	120.925	508.7	69
Wyoming	712	117.9	513.25625	61.5
Wyoming	713	122.725	577.73125	57
Wyoming	714	122.725	577.73125	57
Wyoming	715	123.15	567.9375	58
Wyoming	716	123.575	576.95	62.5
Wyoming	717	123.575	576.95	62.5
Wyoming	718	127.125	581.10625	63
Wyoming	719	127.125	581.10625	63
Wyoming	720	127.125	581.10625	63
Wyoming	721	128.025	580.58125	67
Wyoming	722	128.025	580.58125	67
Wyoming	723	128.025	580.58125	67
Wyoming	724	132.725	659.8625	67
Wyoming	725	132.725	659.8625	67
Wyoming	726	134.9	605.8	90
Wyoming	729	137.775	592.63125	105.5
Wyoming	730	137.775	591.65	105
Wyoming	731	131.85	571.71875	85.5
Wyoming	732	131.85	571.71875	85.5
Wyoming	733	131.85	571.71875	85.5
Wyoming	734	142.8	701.66875	104
Wyoming	735	142.95	692.99375	105.5
Wyoming	736	142.8	701.66875	104
Wyoming	737	148.175	875.7625	98.5
Wyoming	738	149.125	886.1125	97.5
Wyoming	739	149.075	888.05625	97.5
Wyoming	740	143.05	846.16875	92
Wyoming	741	143.05	846.16875	92
Wyoming	742	133.15	755.70625	70
Wyoming	743	133.15	757.2125	69.5
Wyoming	745	167.475	859.09375	145.5
Wyoming	746	167.475	869.1375	142.5
Wyoming	747	163.775	875.6875	133
Wyoming	749	140.775	758.3375	88.5
Wyoming	750	140.775	758.3375	88.5
Wyoming	751	141.45	754.39375	91
Wyoming	752	141.45	754.39375	91
Wyoming	753	141.45	754.39375	91
Wyoming	754	136.65	762.49375	78
Wyoming	755	135.05	762.675	73.5
Wyoming	756	135.475	764.1625	75.5
Wyoming	757	132.65	821.425	73.5
Wyoming	758	132.65	821.425	73.5
Wyoming	759	132.65	821.425	73.5
Wyoming	760	141.525	773.84375	90.5
Wyoming	761	142.15	774.63125	91.5
Wyoming	762	144.25	745.9	103
Wyoming	763	157.55	752.7625	139
Wyoming	764	157.55	752.7625	139
Wyoming	765	157.55	752.7625	139
Wyoming	766	135.55	810.49375	94
Wyoming	767	135.55	810.49375	94
Wyoming	768	146.475	814.9875	108
Wyoming	769	146.475	814.9875	108
Wyoming	770	146.475	814.9875	108
Wyoming	771	146.475	814.9875	108
Wyoming	772	163.35	923.76875	137
Wyoming	773	163.35	923.76875	137
Wyoming	774	163.325	906.04375	138
Wyoming	775	127.925	796.325	99.5
Wyoming	776	139.5	792.3875	111.5
Wyoming	777	139.675	790.5125	112
Wyoming	778	139.675	790.5125	112
Wyoming	779	157.975	810.11875	136
Wyoming	780	157.975	810.11875	136
Wyoming	781	157.975	806.0625	137
Wyoming	782	157.975	806.0625	137
Wyoming	783	141.15	801.2	108.5
Wyoming	784	141.15	801.2	108.5
Wyoming	785	141.15	801.2	108.5
Wyoming	786	142.75	799.6	113
Wyoming	787	141.025	798.04375	111
Wyoming	788	141.775	798.78125	112
Wyoming	789	149.675	823.00625	123
Wyoming	790	149.675	823.00625	123
Wyoming	791	148.75	799.7	121.5
Wyoming	792	148.75	799.7	121.5
Wyoming	793	148.75	799.7	121.5
Wyoming	794	148.75	799.7	121.5
Wyoming	795	153.35	724.56875	130.5
Wyoming	796	153.35	724.56875	130.5
Wyoming	798	159.075	956.675	126.5
Wyoming	799	159.075	956.675	126.5
Wyoming	800	159.075	956.675	126.5
Alaska	801	129.45	374	140
Alaska	802	129.45	374	140
Alaska	803	132.1	363.5125	147
Alaska	805	132.35	320.2625	149
Alaska	806	127.075	358.5	122.5
Alaska	807	122.7	310.49375	117.5
Alaska	808	127.525	336.6625	115
Alaska	809	130.775	364.28125	123.5
Alaska	810	132.175	406.95625	125
Alaska	811	140.775	442.75	134
Alaska	812	138.825	469.1375	125.5
Alaska	813	139.45	451.6375	136
Alaska	814	138	469.425	126
Alaska	815	138.025	470.98125	124.5
Alaska	816	136.35	426.6625	120
Alaska	817	133.5	401.25625	110.5
Alaska	818	131.55	392.9125	104.5
Alaska	819	130.525	396.81875	98.5
Alaska	820	134.65	406.9625	118
Alaska	821	139.55	421.56875	140.5
Alaska	822	124.825	318.45	104.5
Alaska	823	129.7	411.875	137
Alaska	824	134.7	442.85625	142
Alaska	825	136.2	454.26875	144
Alaska	826	137.6	461.36875	145
Alaska	827	140.325	477.98125	148
Alaska	828	143.6	483.45	162
Alaska	829	145.6	482.70625	172.5
Alaska	831	149.975	472.55	186.5
Alaska	832	147.525	509.89375	176
Alaska	833	147.3	482.5	176.5
Alaska	835	149.975	472.55	186.5
Alaska	836	149.875	454.38125	182.5
Alaska	837	143.7	425.9125	175.5
Alaska	838	138.725	409.95	162
Alaska	839	147.925	430.46875	180
Alaska	840	148.3	427.7875	180.5
Alaska	841	132.325	364.90625	146.5
Alaska	842	132.075	362.4375	145.5
Alaska	843	124.275	321.5875	128
Alaska	845	129.025	349.625	135.5
Alaska	847	145.775	420.7	175.5
Alaska	848	132	426.3875	149
Alaska	849	132.95	441.83125	151.5
Alaska	850	134.925	461.11875	155.5
Alaska	851	134.875	457.64375	155
Alaska	852	135.275	449.09375	157
Alaska	853	134.65	441.58125	156.5
Alaska	854	134.4	442.66875	156
Alaska	855	136.525	450.225	159
Alaska	856	141.025	439.39375	172.5
Alaska	857	141.55	415.975	180
Alaska	858	147.1	402.96875	188.5
Alaska	859	151.325	422.06875	192
Alaska	861	150.15	436.4125	189
Alaska	862	147.95	419.8375	189
Alaska	863	145.1	416.24375	188
Alaska	866	137.95	372.2375	185
Alaska	868	137.45	357.53125	184.5
Alaska	869	135.9	321.88125	187.5
Alaska	872	135.175	311.4625	188.5
Alaska	873	136.15	358.675	186.5
Alaska	874	137.525	370.5125	186
Alaska	876	138.3	376.79375	186.5
Alaska	879	140.875	446.375	187.5
Alaska	880	141.725	422.3125	189
Chilcotin	930	138.975	560.975	136.5
Chilcotin	936	134.625	542.1375	132
Chilcotin	937	135.7	533.75625	136
Chilcotin	938	135.85	526.03125	138
Chilcotin	939	135.7	530.925	136.5
Chilcotin	940	135.925	530.775	138
Chilcotin	941	135.925	538.86875	136
Chilcotin	945	135	520.53125	134.5
Chilcotin	947	136.05	515.68125	138
Chilcotin	948	135.85	516.44375	137.5
Indian_Head	CLK-10	143.35	511.725	150
Indian_Head	CLK-13	143.35	511.725	150
Indian_Head	CLK-4	143.35	511.725	150
Indian_Head	CLK-6	143.35	511.725	150
Indian_Head	CLK-8	143.35	511.725	150
Indian_Head	EDM-10	133.3	512.63125	132.5
Indian_Head	EDM-11	133.3	512.63125	132.5
Indian_Head	EDM-12	133.3	512.63125	132.5
Indian_Head	EDM-13	133.3	512.63125	132.5
Indian_Head	EDM-14	133.3	512.63125	132.5
Indian_Head	EDM-15	133.3	512.63125	132.5
Indian_Head	EDM-3	133.3	512.63125	132.5
Indian_Head	EDM-8	133.3	512.63125	132.5
Indian_Head	FTM-1	137.5	462.2	152
Indian_Head	FTM-10	137.5	462.2	152
Indian_Head	FTM-12	137.5	462.2	152
Indian_Head	FTM-13	137.5	462.2	152
Indian_Head	FTM-14	137.5	462.2	152
Indian_Head	FTM-15	137.5	462.2	152
Indian_Head	FTM-2	137.5	462.2	152
Indian_Head	GPR-1	139.475	591.15	134
Indian_Head	GPR-10	139.475	591.15	134
Indian_Head	GPR-12	139.475	591.15	134
Indian_Head	GPR-14	139.475	591.15	134
Indian_Head	GPR-15	139.475	591.15	134
Indian_Head	GPR-4	139.475	591.15	134
Indian_Head	GPR-5	139.475	591.15	134
Indian_Head	GPR-7	139.475	591.15	134
Indian_Head	LAR-10	143.325	441.33125	162
Indian_Head	LAR-12	143.325	441.33125	162
Indian_Head	LAR-13	143.325	441.33125	162
Indian_Head	LAR-14	143.325	441.33125	162
Indian_Head	LAR-6	143.325	441.33125	162
Indian_Head	LAR-7	143.325	441.33125	162
Indian_Head	MEL-11	138.675	409.55625	152.5
Indian_Head	MEL-12	138.675	409.55625	152.5
Indian_Head	MEL-13	138.675	409.55625	152.5
Indian_Head	MEL-15	138.675	409.55625	152.5
Indian_Head	MEL-2	138.675	409.55625	152.5
Indian_Head	MEL-6	138.675	409.55625	152.5
Indian_Head	MEL-7	138.675	409.55625	152.5
Indian_Head	MEL-9	138.675	409.55625	152.5
Crowsnest	MHCE01	136.775	626.63125	117
Crowsnest	MHCE03	150.425	622.3875	139
Crowsnest	MHCE07	149.95	614.18125	141.5
Indian_Head	WOL-1	151.55	374.74375	187
Indian_Head	WOL-15	151.55	374.74375	187
Indian_Head	WOL-4	151.55	374.74375	187
Indian_Head	WOL-5	151.55	374.74375	187
Indian_Head	WOL-7	151.55	374.74375	187
Indian_Head	WOL-9	151.55	374.74375	187
